ID	Name	Low	Mid	High	Max	Malaria Consortium	Against Malaria Foundation	Deworm the World	Helen Keller International	New Incentives	GiveDirectly	The END Fund	SCI Foundation	Sightsavers	Village Enterprise	Seva	JAAGO Foundation	UNICEF south africa	Lola Karimova-Tillyaeva	Cambodian Children’s Fund.	Plan vivo	gold standard	Climate change fund	Clean air taskforce	Rewild our world	Cool earth	ACE’s Recommended Charity Fund	Animal Welfare Fund	Oceana	Environmental Working Group	Rainforest alliance
offset-carbon	Carbon	25	50	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0
offset-carbon0	Nature based offsets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.1	0	0	0.2	0.2	0	0	0	0	0.2
offset-carbon1	Reducing emissions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.4	0.3	0	0	0	0	0	0	0
offset-carbon2	Sustainable technology development	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0
offset-poverty	Povery labour	11	37	105	200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
offset-poverty0	Correct distribution	0	0	0	0	0.028985507	0.009661836	0.164251208	0.06763285	0.057971014	0.009661836	0.028985507	0.009661836	0.096618357	0.009661836	0.077294686	0.173913043	0.173913043	0.06763285	0.024154589	0	0	0	0	0	0	0	0	0	0	0
offset-poverty1	Most needing people	0	0	0	0	0.090909091	0.090909091	0.090909091	0.090909091	0.090909091	0.090909091	0.090909091	0.090909091	0.090909091	0.090909091	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
offset-ecosystems	Local ecosystems	25	50	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0.1	0.1	0	0	0.3	0.2	0.2
offset-animal	Animal walfare	25	50	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
